10 15 16 17   VAL1
10 17 15 16   VAL1
10 16 15 17   VAL2
11 6 0 5   VAL1
11 5 6 0   VAL1
11 0 6 5   VAL2
11 17 6 0   VAL1
11 0 17 6   VAL1
11 6 17 0   VAL2
11 10 17 6   VAL1
11 6 10 17   VAL1
11 17 10 6   VAL2
12 19 13 6   VAL1
12 6 19 13   VAL1
12 13 19 6   VAL2
12 18 19 13   VAL1
12 13 18 19   VAL1
12 19 18 13   VAL2
12 23 18 19   VAL1
12 19 23 18   VAL1
12 18 23 19   VAL2
13 14 8 7   VAL1
13 7 14 8   VAL1
13 8 14 7   VAL2
13 19 14 8   VAL1
13 8 19 14   VAL1
13 14 19 8   VAL2
13 12 19 14   VAL1
13 14 12 19   VAL1
13 19 12 14   VAL2
14 21 15 8   VAL1
14 8 21 15   VAL1
14 15 21 8   VAL2
14 20 21 15   VAL1
14 15 20 21   VAL1
14 21 20 15   VAL2
14 19 20 21   VAL1
14 21 19 20   VAL1
14 20 19 21   VAL2
15 16 10 9   VAL1
15 9 16 10   VAL1
15 10 16 9   VAL2
15 21 16 10   VAL1
15 10 21 16   VAL1
15 16 21 10   VAL2
15 14 21 16   VAL1
15 16 14 21   VAL1
15 21 14 16   VAL2
16 23 17 10   VAL1
16 10 23 17   VAL1
16 17 23 10   VAL2
16 22 23 17   VAL1
16 17 22 23   VAL1
16 23 22 17   VAL2
16 21 22 23   VAL1
16 23 21 22   VAL1
16 22 21 23   VAL2
17 12 6 11   VAL1
17 11 12 6   VAL1
17 6 12 11   VAL2
17 23 12 6   VAL1
17 6 23 12   VAL1
17 12 23 6   VAL2
17 16 23 12   VAL1
17 12 16 23   VAL1
17 23 16 12   VAL2
18 1 19 12   VAL1
18 12 1 19   VAL1
18 19 1 12   VAL2
18 0 1 19   VAL1
18 19 0 1   VAL1
18 1 0 19   VAL2
18 5 0 1   VAL1
18 1 5 0   VAL1
18 0 5 1   VAL2
19 20 14 13   VAL1
19 13 20 14   VAL1
19 14 20 13   VAL2
19 1 20 14   VAL1
19 14 1 20   VAL1
19 20 1 14   VAL2
19 18 1 20   VAL1
19 20 18 1   VAL1
19 1 18 20   VAL2
20 3 21 14   VAL1
20 14 3 21   VAL1
20 21 3 14   VAL2
20 2 3 21   VAL1
20 21 2 3   VAL1
20 3 2 21   VAL2
20 1 2 3   VAL1
20 3 1 2   VAL1
20 2 1 3   VAL2
21 22 16 15   VAL1
21 15 22 16   VAL1
21 16 22 15   VAL2
21 3 22 16   VAL1
21 16 3 22   VAL1
21 22 3 16   VAL2
21 20 3 22   VAL1
21 22 20 3   VAL1
21 3 20 22   VAL2
22 5 23 16   VAL1
22 16 5 23   VAL1
22 23 5 16   VAL2
22 4 5 23   VAL1
22 23 4 5   VAL1
22 5 4 23   VAL2
22 3 4 5   VAL1
22 5 3 4   VAL1
22 4 3 5   VAL2
23 18 12 17   VAL1
23 17 18 12   VAL1
23 12 18 17   VAL2
23 5 18 12   VAL1
23 12 5 18   VAL1
23 18 5 12   VAL2
23 22 5 18   VAL1
23 18 22 5   VAL1
23 5 22 18   VAL2
